  Normal     100101   +2,-2, 0,-1   +2,-2,+1,-2   +2,-1,+1,-1   +2,-1, 0,-2
  Normal     100110   +2, 0,-2,-1   +2, 0,-1,-2   +2,+1,-1,-1   +2,+1,-2,-2
  Normal     100111   +2,-2,-2,-1   +2,-2,-1,-2   +2,-1,-1,-1   +2,-1,-2,-2
  Normal     101000    0, 0,+2,+1   +1,+1,+2,+1   +1, 0,+2, 0    0,+1,+2, 0
  Normal     101001   -2, 0,+2,+1   -1,+1,+2,+1   -1, 0,+2, 0   -2,+1,+2, 0
  Normal     101010    0,-2,+2,+1   +1,-1,+2,+1   +1,-2,+2, 0    0,-1,+2, 0
  Normal     101011   -2,-2,+2,+1   -1,-1,+2,+1   -1,-2,+2, 0   -2,-1,+2, 0
  Normal     101100    0, 0,+2,-1   +1,+1,+2,-1   +1, 0,+2,-2    0,+1,+2,-2
  Normal     101101   -2, 0,+2,-1   -1,+1,+2,-1   -1, 0,+2,-2   -2,+1,+2,-2
  Normal     101110    0,-2,+2,-1   +1,-1,+2,-1   +1,-2,+2,-2    0,-1,+2,-2
  Normal     101111   -2,-2,+2,-1   -1,-1,+2,-1   -1,-2,+2,-2   -2,-1,+2,-2
  Normal     110000    0,+2, 0,+1    0,+2,+1, 0   +1,+2, 0, 0   +1,+2,+1,+1
  Normal     110001   -2,+2, 0,+1   -2,+2,+1, 0   -1,+2, 0, 0   -1,+2,+1,+1
  Normal     110010    0,+2,-2,+1    0,+2,-1, 0   +1,+2,-2, 0   +1,+2,-1,+1
  Normal     110011   -2,+2,-2,+1   -2,+2,-1, 0   -1,+2,-2, 0   -1,+2,-1,+1
  Normal     110100    0,+2, 0,-1    0,+2,+1,-2   +1,+2, 0,-2   +1,+2,+1,-1
  Normal     110101   -2,+2, 0,-1   -2,+2,+1,-2   -1,+2, 0,-2   -1,+2,+1,-1
  Normal     110110    0,+2,-2,-1    0,+2,-1,-2   +1,+2,-2,-2   +1,+2,-1,-1
  Normal     110111   -2,+2,-2,-1   -2,+2,-1,-2   -1,+2,-2,-2   -1,+2,-1,-1
  Normal     111000   +1,+1,+1,+2    0, 0,+1,+2   +1, 0, 0,+2    0,+1, 0,+2
  Normal     111001   -1,+1,+1,+2   -2, 0,+1,+2   -1, 0, 0,+2   -2,+1, 0,+2
  Normal     111010   +1,-1,+1,+2    0,-2,+1,+2   +1,-2, 0,+2    0,-1, 0,+2
  Normal     111011   -1,-1,+1,+2   -2,-2,+1,+2   -1,-2, 0,+2   -2,-1, 0,+2
  Normal     111100   +1,+1,-1,+2    0, 0,-1,+2   +1, 0,-2,+2    0,+1,-2,+2
  Normal     111101   -1,+1,-1,+2   -2, 0,-1,+2   -1, 0,-2,+2   -2,+1,-2,+2
  Normal     111110   +1,-1,-1,+2    0,-2,-1,+2   +1,-2,-2,+2    0,-1,-2,+2
  Normal     111111   -1,-1,-1,+2   -2,-2,-1,+2   -1,-2,-2,+2   -2,-1,-2,+2
  xmt_err    XXXXXX   +2,+2, 0,+1    0,+2,+1,+2   +1,+2,+2, 0   +2,+1,+2, 0
CSExtend_Err XXXXXX   +2,+2,-2,-1   -2,+2,-1,+2   -1,+2,+2,-2   +2,-1,+2,-2
 CSExtend    XXXXXX   +2, 0,+2,+1   +2, 0,+1,+2   +1, 0,+2,+2   +2,+1, 0,+2
 CSReset     XXXXXX   +2,-2,+2,-1   +2,-2,-1,+2   -1,-2,+2,+2   +2,-1,-2,+2

